investment_code,COD_UNICO,DES_TIPO,COD_MES,PERIODO,MTO_ACT
2628986,2628986,PROGRAMADO,4,2026-04,20000.0
2628986,2628986,PROGRAMADO,1,2026-01,0.0
2628986,2628986,PROGRAMADO,7,2026-07,0.0
2628986,2628986,PROGRAMADO,12,2026-12,0.0
2628986,2628986,PROGRAMADO,6,2026-06,25000.0
2628986,2628986,PROGRAMADO,9,2026-09,0.0
2628986,2628986,PROGRAMADO,5,2026-05,30000.0
2628986,2628986,PROGRAMADO,11,2026-11,0.0
2628986,2628986,PROGRAMADO,2,2026-02,0.0
2628986,2628986,PROGRAMADO,3,2026-03,0.0
2628986,2628986,PROGRAMADO,10,2026-10,0.0
2628986,2628986,PROGRAMADO,8,2026-08,0.0
2687722,2687722,PROGRAMADO,6,2026-06,250000.0
2687722,2687722,PROGRAMADO,10,2026-10,0.0
2687722,2687722,PROGRAMADO,1,2026-01,0.0
2687722,2687722,PROGRAMADO,8,2026-08,0.0
2687722,2687722,PROGRAMADO,12,2026-12,0.0
2687722,2687722,PROGRAMADO,2,2026-02,0.0
2687722,2687722,PROGRAMADO,4,2026-04,0.0
2687722,2687722,PROGRAMADO,5,2026-05,0.0
2687722,2687722,PROGRAMADO,9,2026-09,0.0
2687722,2687722,PROGRAMADO,3,2026-03,0.0
2687722,2687722,PROGRAMADO,7,2026-07,220684.07
2687722,2687722,PROGRAMADO,11,2026-11,0.0
2705952,2705952,PROGRAMADO,5,2026-05,0.0
2705952,2705952,PROGRAMADO,7,2026-07,0.0
2705952,2705952,PROGRAMADO,2,2026-02,0.0
2705952,2705952,PROGRAMADO,3,2026-03,205000.0
2705952,2705952,PROGRAMADO,1,2026-01,0.0
2705952,2705952,PROGRAMADO,8,2026-08,0.0
2705952,2705952,PROGRAMADO,9,2026-09,0.0
2705952,2705952,PROGRAMADO,11,2026-11,0.0
2705952,2705952,PROGRAMADO,12,2026-12,0.0
2705952,2705952,PROGRAMADO,6,2026-06,0.0
2705952,2705952,PROGRAMADO,4,2026-04,205449.54
2705952,2705952,PROGRAMADO,10,2026-10,0.0
2530397,2530397,PROGRAMADO,6,2026-06,0.0
2530397,2530397,PROGRAMADO,10,2026-10,0.0
2530397,2530397,PROGRAMADO,8,2026-08,0.0
2530397,2530397,PROGRAMADO,2,2026-02,46400.0
2530397,2530397,PROGRAMADO,4,2026-04,0.0
2530397,2530397,PROGRAMADO,3,2026-03,0.0
2530397,2530397,PROGRAMADO,5,2026-05,0.0
2530397,2530397,PROGRAMADO,11,2026-11,0.0
2530397,2530397,PROGRAMADO,12,2026-12,0.0
2530397,2530397,PROGRAMADO,1,2026-01,0.0
2530397,2530397,PROGRAMADO,7,2026-07,0.0
2530397,2530397,PROGRAMADO,9,2026-09,0.0
2478143,2478143,PROGRAMADO,9,2026-09,0.0
2478143,2478143,PROGRAMADO,11,2026-11,0.0
2478143,2478143,PROGRAMADO,12,2026-12,0.0
2478143,2478143,PROGRAMADO,6,2026-06,0.0
2478143,2478143,PROGRAMADO,10,2026-10,0.0
2478143,2478143,PROGRAMADO,1,2026-01,0.0
2478143,2478143,PROGRAMADO,4,2026-04,0.0
2478143,2478143,PROGRAMADO,5,2026-05,0.0
2478143,2478143,PROGRAMADO,8,2026-08,0.0
2478143,2478143,PROGRAMADO,2,2026-02,0.0
2478143,2478143,PROGRAMADO,3,2026-03,0.0
2478143,2478143,PROGRAMADO,7,2026-07,0.0
2673405,2673405,PROGRAMADO,2,2026-02,0.0
2673405,2673405,PROGRAMADO,3,2026-03,0.0
2673405,2673405,PROGRAMADO,11,2026-11,0.0
2673405,2673405,PROGRAMADO,7,2026-07,0.0
2673405,2673405,PROGRAMADO,4,2026-04,350000.0
2673405,2673405,PROGRAMADO,1,2026-01,0.0
2673405,2673405,PROGRAMADO,5,2026-05,0.0
2673405,2673405,PROGRAMADO,8,2026-08,0.0
2673405,2673405,PROGRAMADO,10,2026-10,0.0
2673405,2673405,PROGRAMADO,9,2026-09,0.0
2673405,2673405,PROGRAMADO,6,2026-06,0.0
2673405,2673405,PROGRAMADO,12,2026-12,0.0
2452682,2452682,PROGRAMADO,5,2026-05,0.0
2452682,2452682,PROGRAMADO,8,2026-08,500000.0
2452682,2452682,PROGRAMADO,11,2026-11,0.0
2452682,2452682,PROGRAMADO,12,2026-12,0.0
2452682,2452682,PROGRAMADO,4,2026-04,0.0
2452682,2452682,PROGRAMADO,9,2026-09,500000.0
2452682,2452682,PROGRAMADO,10,2026-10,500000.0
2452682,2452682,PROGRAMADO,6,2026-06,0.0
2452682,2452682,PROGRAMADO,2,2026-02,0.0
2452682,2452682,PROGRAMADO,3,2026-03,0.0
2452682,2452682,PROGRAMADO,7,2026-07,0.0
2452682,2452682,PROGRAMADO,1,2026-01,0.0
2520366,2520366,PROGRAMADO,3,2026-03,0.0
2520366,2520366,PROGRAMADO,6,2026-06,0.0
2520366,2520366,PROGRAMADO,2,2026-02,0.0
2520366,2520366,PROGRAMADO,5,2026-05,0.0
2520366,2520366,PROGRAMADO,8,2026-08,0.0
2520366,2520366,PROGRAMADO,11,2026-11,0.0
2520366,2520366,PROGRAMADO,12,2026-12,0.0
2520366,2520366,PROGRAMADO,4,2026-04,0.0
2520366,2520366,PROGRAMADO,7,2026-07,0.0
2520366,2520366,PROGRAMADO,9,2026-09,0.0
2520366,2520366,PROGRAMADO,10,2026-10,0.0
2520366,2520366,PROGRAMADO,1,2026-01,190000.0
2596184,2596184,PROGRAMADO,4,2026-04,0.0
2596184,2596184,PROGRAMADO,11,2026-11,0.0
2596184,2596184,PROGRAMADO,1,2026-01,0.0
2596184,2596184,PROGRAMADO,5,2026-05,0.0
2596184,2596184,PROGRAMADO,7,2026-07,0.0
2596184,2596184,PROGRAMADO,8,2026-08,0.0
2596184,2596184,PROGRAMADO,12,2026-12,0.0
2596184,2596184,PROGRAMADO,6,2026-06,70560.0
2596184,2596184,PROGRAMADO,9,2026-09,0.0
2596184,2596184,PROGRAMADO,10,2026-10,0.0
2596184,2596184,PROGRAMADO,2,2026-02,0.0
2596184,2596184,PROGRAMADO,3,2026-03,0.0
2309952,2309952,PROGRAMADO,1,2026-01,785050.2
2309952,2309952,PROGRAMADO,3,2026-03,0.0
2309952,2309952,PROGRAMADO,6,2026-06,0.0
2309952,2309952,PROGRAMADO,9,2026-09,0.0
2309952,2309952,PROGRAMADO,10,2026-10,0.0
2309952,2309952,PROGRAMADO,11,2026-11,0.0
2309952,2309952,PROGRAMADO,8,2026-08,0.0
2309952,2309952,PROGRAMADO,4,2026-04,0.0
2309952,2309952,PROGRAMADO,7,2026-07,0.0
2309952,2309952,PROGRAMADO,12,2026-12,0.0
2309952,2309952,PROGRAMADO,2,2026-02,791144.3
2309952,2309952,PROGRAMADO,5,2026-05,0.0
2642432,2642432,PROGRAMADO,4,2026-04,0.0
2642432,2642432,PROGRAMADO,6,2026-06,0.0
2642432,2642432,PROGRAMADO,10,2026-10,0.0
2642432,2642432,PROGRAMADO,5,2026-05,0.0
2642432,2642432,PROGRAMADO,8,2026-08,0.0
2642432,2642432,PROGRAMADO,9,2026-09,0.0
2642432,2642432,PROGRAMADO,1,2026-01,22487.4
2642432,2642432,PROGRAMADO,2,2026-02,0.0
2642432,2642432,PROGRAMADO,11,2026-11,0.0
2642432,2642432,PROGRAMADO,3,2026-03,0.0
2642432,2642432,PROGRAMADO,7,2026-07,0.0
2642432,2642432,PROGRAMADO,12,2026-12,0.0
2131115,2131115,PROGRAMADO,8,2026-08,0.0
2131115,2131115,PROGRAMADO,9,2026-09,0.0
2131115,2131115,PROGRAMADO,11,2026-11,0.0
2131115,2131115,PROGRAMADO,12,2026-12,757688.76
2131115,2131115,PROGRAMADO,4,2026-04,0.0
2131115,2131115,PROGRAMADO,6,2026-06,0.0
2131115,2131115,PROGRAMADO,1,2026-01,0.0
2131115,2131115,PROGRAMADO,2,2026-02,19970.3
2131115,2131115,PROGRAMADO,3,2026-03,0.0
2131115,2131115,PROGRAMADO,5,2026-05,76375.94
2131115,2131115,PROGRAMADO,7,2026-07,0.0
2131115,2131115,PROGRAMADO,10,2026-10,0.0
2320661,2320661,PROGRAMADO,3,2026-03,0.0
2320661,2320661,PROGRAMADO,8,2026-08,0.0
2320661,2320661,PROGRAMADO,9,2026-09,0.0
2320661,2320661,PROGRAMADO,1,2026-01,0.0
2320661,2320661,PROGRAMADO,11,2026-11,0.0
2320661,2320661,PROGRAMADO,2,2026-02,0.0
2320661,2320661,PROGRAMADO,5,2026-05,0.0
2320661,2320661,PROGRAMADO,7,2026-07,0.0
2320661,2320661,PROGRAMADO,4,2026-04,0.0
2320661,2320661,PROGRAMADO,10,2026-10,0.0
2320661,2320661,PROGRAMADO,6,2026-06,0.0
2320661,2320661,PROGRAMADO,12,2026-12,0.0
2697718,2697718,PROGRAMADO,4,2026-04,0.0
2697718,2697718,PROGRAMADO,11,2026-11,0.0
2697718,2697718,PROGRAMADO,12,2026-12,0.0
2697718,2697718,PROGRAMADO,3,2026-03,0.0
2697718,2697718,PROGRAMADO,7,2026-07,0.0
2697718,2697718,PROGRAMADO,8,2026-08,0.0
2697718,2697718,PROGRAMADO,1,2026-01,0.0
2697718,2697718,PROGRAMADO,2,2026-02,0.0
2697718,2697718,PROGRAMADO,6,2026-06,0.0
2697718,2697718,PROGRAMADO,9,2026-09,0.0
2697718,2697718,PROGRAMADO,5,2026-05,0.0
2697718,2697718,PROGRAMADO,10,2026-10,0.0
2647097,2647097,PROGRAMADO,4,2026-04,0.0
2647097,2647097,PROGRAMADO,5,2026-05,0.0
2647097,2647097,PROGRAMADO,9,2026-09,0.0
2647097,2647097,PROGRAMADO,11,2026-11,0.0
2647097,2647097,PROGRAMADO,6,2026-06,0.16
2647097,2647097,PROGRAMADO,2,2026-02,0.0
2647097,2647097,PROGRAMADO,3,2026-03,0.0
2647097,2647097,PROGRAMADO,7,2026-07,0.0
2647097,2647097,PROGRAMADO,8,2026-08,0.0
2647097,2647097,PROGRAMADO,10,2026-10,0.0
2647097,2647097,PROGRAMADO,12,2026-12,0.0
2647097,2647097,PROGRAMADO,1,2026-01,0.0
2715454,2715454,PROGRAMADO,4,2026-04,0.0
2715454,2715454,PROGRAMADO,1,2026-01,0.0
2715454,2715454,PROGRAMADO,3,2026-03,0.0
2715454,2715454,PROGRAMADO,6,2026-06,0.0
2715454,2715454,PROGRAMADO,5,2026-05,0.0
2715454,2715454,PROGRAMADO,7,2026-07,0.0
2715454,2715454,PROGRAMADO,9,2026-09,0.0
2715454,2715454,PROGRAMADO,10,2026-10,0.0
2715454,2715454,PROGRAMADO,8,2026-08,0.0
2715454,2715454,PROGRAMADO,12,2026-12,0.0
2715454,2715454,PROGRAMADO,2,2026-02,0.0
2715454,2715454,PROGRAMADO,11,2026-11,0.0
2423388,2423388,PROGRAMADO,6,2026-06,0.0
2423388,2423388,PROGRAMADO,11,2026-11,0.0
2423388,2423388,PROGRAMADO,1,2026-01,0.0
2423388,2423388,PROGRAMADO,3,2026-03,0.0
2423388,2423388,PROGRAMADO,4,2026-04,0.0
2423388,2423388,PROGRAMADO,7,2026-07,0.0
2423388,2423388,PROGRAMADO,12,2026-12,4119750.0
2423388,2423388,PROGRAMADO,2,2026-02,0.0
2423388,2423388,PROGRAMADO,5,2026-05,0.0
2423388,2423388,PROGRAMADO,8,2026-08,0.0
2423388,2423388,PROGRAMADO,10,2026-10,0.0
2423388,2423388,PROGRAMADO,9,2026-09,0.0
2541814,2541814,PROGRAMADO,10,2026-10,0.0
2541814,2541814,PROGRAMADO,3,2026-03,0.0
2541814,2541814,PROGRAMADO,6,2026-06,0.0
2541814,2541814,PROGRAMADO,8,2026-08,0.0
2541814,2541814,PROGRAMADO,4,2026-04,0.0
2541814,2541814,PROGRAMADO,7,2026-07,0.0
2541814,2541814,PROGRAMADO,11,2026-11,0.0
2541814,2541814,PROGRAMADO,5,2026-05,0.0
2541814,2541814,PROGRAMADO,12,2026-12,0.0
2541814,2541814,PROGRAMADO,1,2026-01,0.0
2541814,2541814,PROGRAMADO,2,2026-02,0.0
2541814,2541814,PROGRAMADO,9,2026-09,0.0
2666634,2666634,PROGRAMADO,3,2026-03,0.0
2666634,2666634,PROGRAMADO,6,2026-06,0.0
2666634,2666634,PROGRAMADO,2,2026-02,0.0
2666634,2666634,PROGRAMADO,4,2026-04,0.0
2666634,2666634,PROGRAMADO,1,2026-01,0.0
2666634,2666634,PROGRAMADO,5,2026-05,0.0
2666634,2666634,PROGRAMADO,8,2026-08,0.0
2666634,2666634,PROGRAMADO,10,2026-10,0.0
2666634,2666634,PROGRAMADO,7,2026-07,0.0
2666634,2666634,PROGRAMADO,9,2026-09,0.0
2666634,2666634,PROGRAMADO,11,2026-11,0.0
2666634,2666634,PROGRAMADO,12,2026-12,0.0
2692290,2692290,PROGRAMADO,5,2026-05,0.0
2692290,2692290,PROGRAMADO,6,2026-06,0.0
2692290,2692290,PROGRAMADO,8,2026-08,0.0
2692290,2692290,PROGRAMADO,2,2026-02,230957.5
2692290,2692290,PROGRAMADO,3,2026-03,230957.5
2692290,2692290,PROGRAMADO,4,2026-04,230957.5
2692290,2692290,PROGRAMADO,9,2026-09,0.0
2692290,2692290,PROGRAMADO,1,2026-01,230957.5
2692290,2692290,PROGRAMADO,10,2026-10,0.0
2692290,2692290,PROGRAMADO,12,2026-12,0.0
2692290,2692290,PROGRAMADO,11,2026-11,0.0
2692290,2692290,PROGRAMADO,7,2026-07,0.0
2610614,2610614,PROGRAMADO,6,2026-06,0.0
2610614,2610614,PROGRAMADO,7,2026-07,0.0
2610614,2610614,PROGRAMADO,8,2026-08,0.0
2610614,2610614,PROGRAMADO,10,2026-10,0.0
2610614,2610614,PROGRAMADO,1,2026-01,0.0
2610614,2610614,PROGRAMADO,9,2026-09,0.0
2610614,2610614,PROGRAMADO,12,2026-12,0.0
2610614,2610614,PROGRAMADO,4,2026-04,0.0
2610614,2610614,PROGRAMADO,5,2026-05,0.0
2610614,2610614,PROGRAMADO,11,2026-11,0.0
2610614,2610614,PROGRAMADO,2,2026-02,0.0
2610614,2610614,PROGRAMADO,3,2026-03,0.0
2709662,2709662,PROGRAMADO,5,2026-05,171026.3
2709662,2709662,PROGRAMADO,8,2026-08,0.0
2709662,2709662,PROGRAMADO,10,2026-10,0.0
2709662,2709662,PROGRAMADO,2,2026-02,40000.0
2709662,2709662,PROGRAMADO,3,2026-03,171026.3
2709662,2709662,PROGRAMADO,7,2026-07,0.0
2709662,2709662,PROGRAMADO,12,2026-12,0.0
2709662,2709662,PROGRAMADO,1,2026-01,0.0
2709662,2709662,PROGRAMADO,4,2026-04,171026.3
2709662,2709662,PROGRAMADO,11,2026-11,0.0
2709662,2709662,PROGRAMADO,9,2026-09,0.0
2709662,2709662,PROGRAMADO,6,2026-06,0.0
2651835,2651835,PROGRAMADO,6,2026-06,0.0
2651835,2651835,PROGRAMADO,5,2026-05,0.0
2651835,2651835,PROGRAMADO,11,2026-11,0.0
2651835,2651835,PROGRAMADO,8,2026-08,0.0
2651835,2651835,PROGRAMADO,10,2026-10,0.0
2651835,2651835,PROGRAMADO,3,2026-03,0.0
2651835,2651835,PROGRAMADO,4,2026-04,0.0
2651835,2651835,PROGRAMADO,9,2026-09,0.0
2651835,2651835,PROGRAMADO,12,2026-12,0.0
2651835,2651835,PROGRAMADO,1,2026-01,0.0
2651835,2651835,PROGRAMADO,2,2026-02,0.0
2651835,2651835,PROGRAMADO,7,2026-07,0.0
2508582,2508582,PROGRAMADO,3,2026-03,0.0
2508582,2508582,PROGRAMADO,9,2026-09,0.0
2508582,2508582,PROGRAMADO,5,2026-05,0.0
2508582,2508582,PROGRAMADO,10,2026-10,0.0
2508582,2508582,PROGRAMADO,8,2026-08,0.0
2508582,2508582,PROGRAMADO,1,2026-01,0.0
2508582,2508582,PROGRAMADO,6,2026-06,0.0
2508582,2508582,PROGRAMADO,4,2026-04,0.0
2508582,2508582,PROGRAMADO,11,2026-11,0.0
2508582,2508582,PROGRAMADO,12,2026-12,0.0
2508582,2508582,PROGRAMADO,2,2026-02,0.0
2508582,2508582,PROGRAMADO,7,2026-07,0.0
2547741,2547741,PROGRAMADO,6,2026-06,0.0
2547741,2547741,PROGRAMADO,4,2026-04,20000.0
2547741,2547741,PROGRAMADO,10,2026-10,0.0
2547741,2547741,PROGRAMADO,1,2026-01,0.0
2547741,2547741,PROGRAMADO,2,2026-02,30000.0
2547741,2547741,PROGRAMADO,7,2026-07,0.0
2547741,2547741,PROGRAMADO,9,2026-09,0.0
2547741,2547741,PROGRAMADO,11,2026-11,0.0
2547741,2547741,PROGRAMADO,5,2026-05,0.0
2547741,2547741,PROGRAMADO,8,2026-08,0.0
2547741,2547741,PROGRAMADO,3,2026-03,50000.0
2547741,2547741,PROGRAMADO,12,2026-12,0.0
2689534,2689534,PROGRAMADO,1,2026-01,0.0
2689534,2689534,PROGRAMADO,11,2026-11,236665.91
2689534,2689534,PROGRAMADO,8,2026-08,236665.91
2689534,2689534,PROGRAMADO,6,2026-06,0.0
2689534,2689534,PROGRAMADO,7,2026-07,236665.91
2689534,2689534,PROGRAMADO,4,2026-04,0.0
2689534,2689534,PROGRAMADO,9,2026-09,236665.91
2689534,2689534,PROGRAMADO,10,2026-10,236665.91
2689534,2689534,PROGRAMADO,2,2026-02,0.0
2689534,2689534,PROGRAMADO,5,2026-05,0.0
2689534,2689534,PROGRAMADO,12,2026-12,236665.91
2689534,2689534,PROGRAMADO,3,2026-03,0.0
2619442,2619442,PROGRAMADO,4,2026-04,0.0
2619442,2619442,PROGRAMADO,9,2026-09,0.0
2619442,2619442,PROGRAMADO,1,2026-01,0.0
2619442,2619442,PROGRAMADO,2,2026-02,0.0
2619442,2619442,PROGRAMADO,10,2026-10,0.0
2619442,2619442,PROGRAMADO,8,2026-08,0.0
2619442,2619442,PROGRAMADO,12,2026-12,0.0
2619442,2619442,PROGRAMADO,3,2026-03,0.0
2619442,2619442,PROGRAMADO,6,2026-06,0.0
2619442,2619442,PROGRAMADO,7,2026-07,0.0
2619442,2619442,PROGRAMADO,11,2026-11,0.0
2619442,2619442,PROGRAMADO,5,2026-05,0.0
2598839,2598839,PROGRAMADO,7,2026-07,0.0
2598839,2598839,PROGRAMADO,12,2026-12,0.0
2598839,2598839,PROGRAMADO,3,2026-03,0.0
2598839,2598839,PROGRAMADO,8,2026-08,0.0
2598839,2598839,PROGRAMADO,10,2026-10,0.0
2598839,2598839,PROGRAMADO,1,2026-01,0.0
2598839,2598839,PROGRAMADO,4,2026-04,0.0
2598839,2598839,PROGRAMADO,6,2026-06,0.0
2598839,2598839,PROGRAMADO,9,2026-09,0.0
2598839,2598839,PROGRAMADO,11,2026-11,0.0
2598839,2598839,PROGRAMADO,2,2026-02,0.0
2598839,2598839,PROGRAMADO,5,2026-05,0.0
2537519,2537519,PROGRAMADO,2,2026-02,0.0
2537519,2537519,PROGRAMADO,5,2026-05,0.0
2537519,2537519,PROGRAMADO,8,2026-08,0.0
2537519,2537519,PROGRAMADO,1,2026-01,0.0
2537519,2537519,PROGRAMADO,11,2026-11,0.0
2537519,2537519,PROGRAMADO,4,2026-04,0.0
2537519,2537519,PROGRAMADO,10,2026-10,0.0
2537519,2537519,PROGRAMADO,7,2026-07,0.0
2537519,2537519,PROGRAMADO,9,2026-09,3500000.0
2537519,2537519,PROGRAMADO,3,2026-03,0.0
2537519,2537519,PROGRAMADO,6,2026-06,0.0
2537519,2537519,PROGRAMADO,12,2026-12,0.0
2463306,2463306,PROGRAMADO,2,2026-02,0.0
2463306,2463306,PROGRAMADO,3,2026-03,0.0
2463306,2463306,PROGRAMADO,10,2026-10,0.0
2463306,2463306,PROGRAMADO,4,2026-04,4000000.0
2463306,2463306,PROGRAMADO,6,2026-06,0.0
2463306,2463306,PROGRAMADO,7,2026-07,0.0
2463306,2463306,PROGRAMADO,9,2026-09,0.0
2463306,2463306,PROGRAMADO,5,2026-05,0.0
2463306,2463306,PROGRAMADO,1,2026-01,0.0
2463306,2463306,PROGRAMADO,11,2026-11,0.0
2463306,2463306,PROGRAMADO,8,2026-08,0.0
2463306,2463306,PROGRAMADO,12,2026-12,0.0
2131121,2131121,PROGRAMADO,6,2026-06,0.0
2131121,2131121,PROGRAMADO,11,2026-11,0.0
2131121,2131121,PROGRAMADO,8,2026-08,0.0
2131121,2131121,PROGRAMADO,10,2026-10,0.0
2131121,2131121,PROGRAMADO,5,2026-05,0.0
2131121,2131121,PROGRAMADO,1,2026-01,0.0
2131121,2131121,PROGRAMADO,9,2026-09,0.0
2131121,2131121,PROGRAMADO,12,2026-12,0.0
2131121,2131121,PROGRAMADO,2,2026-02,0.0
2131121,2131121,PROGRAMADO,3,2026-03,0.0
2131121,2131121,PROGRAMADO,4,2026-04,0.0
2131121,2131121,PROGRAMADO,7,2026-07,0.0
2705730,2705730,PROGRAMADO,8,2026-08,0.0
2705730,2705730,PROGRAMADO,4,2026-04,0.0
2705730,2705730,PROGRAMADO,12,2026-12,0.0
2705730,2705730,PROGRAMADO,9,2026-09,207072.25
2705730,2705730,PROGRAMADO,7,2026-07,0.0
2705730,2705730,PROGRAMADO,10,2026-10,207072.25
2705730,2705730,PROGRAMADO,11,2026-11,0.0
2705730,2705730,PROGRAMADO,2,2026-02,0.0
2705730,2705730,PROGRAMADO,3,2026-03,0.0
2705730,2705730,PROGRAMADO,1,2026-01,0.0
2705730,2705730,PROGRAMADO,5,2026-05,0.0
2705730,2705730,PROGRAMADO,6,2026-06,0.0
2694850,2694850,PROGRAMADO,3,2026-03,0.0
2694850,2694850,PROGRAMADO,10,2026-10,0.0
2694850,2694850,PROGRAMADO,2,2026-02,0.0
2694850,2694850,PROGRAMADO,7,2026-07,0.0
2694850,2694850,PROGRAMADO,11,2026-11,0.0
2694850,2694850,PROGRAMADO,5,2026-05,0.0
2694850,2694850,PROGRAMADO,1,2026-01,0.0
2694850,2694850,PROGRAMADO,8,2026-08,0.0
2694850,2694850,PROGRAMADO,6,2026-06,1390.0
2694850,2694850,PROGRAMADO,4,2026-04,0.0
2694850,2694850,PROGRAMADO,9,2026-09,0.0
2694850,2694850,PROGRAMADO,12,2026-12,0.0
2534303,2534303,PROGRAMADO,4,2026-04,2500.0
2534303,2534303,PROGRAMADO,9,2026-09,0.0
2534303,2534303,PROGRAMADO,6,2026-06,2050.0
2534303,2534303,PROGRAMADO,3,2026-03,3500.0
2534303,2534303,PROGRAMADO,5,2026-05,1950.0
2534303,2534303,PROGRAMADO,1,2026-01,0.0
2534303,2534303,PROGRAMADO,10,2026-10,0.0
2534303,2534303,PROGRAMADO,2,2026-02,0.0
2534303,2534303,PROGRAMADO,8,2026-08,0.0
2534303,2534303,PROGRAMADO,12,2026-12,0.0
2534303,2534303,PROGRAMADO,7,2026-07,0.0
2534303,2534303,PROGRAMADO,11,2026-11,0.0
2513814,2513814,PROGRAMADO,2,2026-02,0.0
2513814,2513814,PROGRAMADO,3,2026-03,0.0
2513814,2513814,PROGRAMADO,1,2026-01,0.0
2513814,2513814,PROGRAMADO,8,2026-08,0.0
2513814,2513814,PROGRAMADO,9,2026-09,0.0
2513814,2513814,PROGRAMADO,12,2026-12,930000.0
2513814,2513814,PROGRAMADO,11,2026-11,750000.0
2513814,2513814,PROGRAMADO,6,2026-06,0.0
2513814,2513814,PROGRAMADO,4,2026-04,0.0
2513814,2513814,PROGRAMADO,5,2026-05,0.0
2513814,2513814,PROGRAMADO,7,2026-07,0.0
2513814,2513814,PROGRAMADO,10,2026-10,500000.0
2645720,2645720,PROGRAMADO,1,2026-01,44170.0
2645720,2645720,PROGRAMADO,10,2026-10,0.0
2645720,2645720,PROGRAMADO,7,2026-07,0.0
2645720,2645720,PROGRAMADO,12,2026-12,0.0
2645720,2645720,PROGRAMADO,3,2026-03,66310.0
2645720,2645720,PROGRAMADO,4,2026-04,0.0
2645720,2645720,PROGRAMADO,6,2026-06,0.0
2645720,2645720,PROGRAMADO,8,2026-08,0.0
2645720,2645720,PROGRAMADO,9,2026-09,0.0
2645720,2645720,PROGRAMADO,5,2026-05,0.0
2645720,2645720,PROGRAMADO,2,2026-02,52520.0
2645720,2645720,PROGRAMADO,11,2026-11,0.0
2502134,2502134,PROGRAMADO,3,2026-03,0.0
2502134,2502134,PROGRAMADO,9,2026-09,0.0
2502134,2502134,PROGRAMADO,11,2026-11,8915000.0
2502134,2502134,PROGRAMADO,4,2026-04,0.0
2502134,2502134,PROGRAMADO,5,2026-05,5000000.0
2502134,2502134,PROGRAMADO,12,2026-12,0.0
2502134,2502134,PROGRAMADO,2,2026-02,0.0
2502134,2502134,PROGRAMADO,6,2026-06,0.0
2502134,2502134,PROGRAMADO,7,2026-07,0.0
2502134,2502134,PROGRAMADO,10,2026-10,0.0
2502134,2502134,PROGRAMADO,1,2026-01,0.0
2502134,2502134,PROGRAMADO,8,2026-08,7560000.0
2703429,2703429,PROGRAMADO,1,2026-01,0.0
2703429,2703429,PROGRAMADO,2,2026-02,0.0
2703429,2703429,PROGRAMADO,7,2026-07,0.0
2703429,2703429,PROGRAMADO,11,2026-11,0.0
2703429,2703429,PROGRAMADO,8,2026-08,0.0
2703429,2703429,PROGRAMADO,12,2026-12,0.0
2703429,2703429,PROGRAMADO,5,2026-05,0.0
2703429,2703429,PROGRAMADO,6,2026-06,0.0
2703429,2703429,PROGRAMADO,3,2026-03,0.0
2703429,2703429,PROGRAMADO,4,2026-04,0.0
2703429,2703429,PROGRAMADO,9,2026-09,0.0
2703429,2703429,PROGRAMADO,10,2026-10,0.0
2716925,2716925,PROGRAMADO,1,2026-01,0.0
2716925,2716925,PROGRAMADO,2,2026-02,0.0
2716925,2716925,PROGRAMADO,6,2026-06,43000.0
2716925,2716925,PROGRAMADO,8,2026-08,0.0
2716925,2716925,PROGRAMADO,10,2026-10,0.0
2716925,2716925,PROGRAMADO,4,2026-04,0.0
2716925,2716925,PROGRAMADO,9,2026-09,0.0
2716925,2716925,PROGRAMADO,3,2026-03,0.0
